package,42638f7-allocations,42638f7-time,7bb8472-allocations,7bb8472-time,8.0.2-allocations,8.0.2-time,f6f0fd9-allocations,f6f0fd9-time
http2-1.6,1.018129888e9,2.106,1.063616424e9,1.7890000000000001,1.544511496e9,2.685,1.07539692e9,1.968
integer-logarithms-1.0,1.58413648e8,0.392,1.584254e8,0.506,3.63671248e8,0.725,1.58478032e8,0.43600000000000005
io-streams-1.4.0,1.239148264e9,2.053,1.254550456e9,2.37,2.144925816e9,3.691,1.280170456e9,2.237
io-streams-haproxy-1.0.0,3.85921864e8,0.7829999999999999,3.89320728e8,0.796,8.70062696e8,1.6829999999999998,3.90254128e8,1.029
iproute-1.7,5.20056192e8,1.097,5.25606304e8,1.277,1.02272132e9,1.962,5.72821656e8,1.1520000000000001
js-flot-0.8,1.8055592e8,0.401,1.80054064e8,0.383,4.2363456e8,1.143,1.82966712e8,0.386
js-jquery-3.2,7.3786128e7,0.259,7.3854504e7,0.178,2.24055872e8,0.491,7.3782088e7,0.162
jwt-0.7,0,0,0,0,1.420771656e9,3.403,0,0
kan-extensions-5.0,9.51208264e8,1.927,9.55880304e8,2.1849999999999996,1.630769072e9,2.782,9.90959768e8,1.992
lens-4.15,8.892831112e9,13.7,9.610876056e9,15.911000000000001,1.2886244008e10,20.461,1.020975088e10,15.396999999999998
lens-aeson-1.0,0,0,0,0,1.821882984e9,4.085,0,0
lifted-base-0.2.3,4.45949968e8,0.896,4.52470928e8,0.741,8.2850928e8,1.465,4.54769416e8,0.77
math-functions-0.2.1,2.83023352e9,5.582,2.831742104e9,5.074,1.153926032e10,20.823999999999998,2.84825156e9,4.7170000000000005
memory-0.14,9.34894464e8,2.0469999999999997,9.54355896e8,1.876,1.438387064e9,2.864,9.71483328e8,1.804
microstache-1,0,0,0,0,1.478061608e9,2.783,0,0
mime-types-0.1.0,2.71212192e8,0.593,2.82963656e8,0.623,6.1915032e8,1.234,2.82638832e8,0.639
mmorph-1.1,3.45746232e8,0.6759999999999999,3.45302592e8,0.778,6.88248544e8,1.4300000000000002,3.61119208e8,0.732
monad-control-1.0.2,3.377588e8,0.768,3.45762384e8,0.5960000000000001,6.91587032e8,1.158,3.5979832e8,0.702
monad-logger-0.3,1.630611208e9,2.76,1.632356568e9,3.041,3.388228088e9,6.314,1.648999624e9,2.738
monad-loops-0.4,1.7335872e8,0.41000000000000003,1.73298784e8,0.404,3.28590672e8,0.5329999999999999,1.73363304e8,0.372
monad-par-0.3.4,6.19346936e8,1.5539999999999998,6.3002848e8,1.258,1.136491336e9,2.06,6.47624872e8,1.256
monad-par-extras-0.3,4.00069296e8,1.0010000000000001,3.97469048e8,0.982,7.78958144e8,1.404,4.01866776e8,0.972
mtl-2.2,6.94161024e8,1.017,7.10369e8,1.098,1.441890336e9,2.394,8.68266048e8,1.188
mwc-random-0.13.6,5.1367712e8,1.007,5.13968632e8,1.009,9.63770584e8,1.7810000000000001,5.17364008e8,0.9970000000000001
